"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 08 10:16:02 GMT 2023","Tue Aug 08 10:16:11 GMT 2023","8061","sw-edge","","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Tue Aug 08 10:15:12 GMT 2023","Tue Aug 08 10:15:38 GMT 2023","25691","sw-firefox","","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Tue Aug 08 10:15:38 GMT 2023","Tue Aug 08 10:15:54 GMT 2023","16040","sw-firefox","","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Tue Aug 08 10:15:09 GMT 2023","Tue Aug 08 10:15:15 GMT 2023","6707","sw-firefox","","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Tue Aug 08 10:16:23 GMT 2023","Tue Aug 08 10:16:51 GMT 2023","28134","sw-safari","","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Tue Aug 08 10:14:59 GMT 2023","Tue Aug 08 10:15:11 GMT 2023","11628","sw-chrome","","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Tue Aug 08 10:16:02 GMT 2023","Tue Aug 08 10:16:11 GMT 2023","9160","sw-edge","","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"skipped","Tue Aug 08 10:14:53 GMT 2023","Tue Aug 08 10:14:53 GMT 2023","2","sw-chrome","","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Tue Aug 08 10:14:54 GMT 2023","Tue Aug 08 10:15:05 GMT 2023","10886","sw-chrome","","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Tue Aug 08 10:15:15 GMT 2023","Tue Aug 08 10:15:48 GMT 2023","32968","sw-firefox","","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Tue Aug 08 10:16:43 GMT 2023","Tue Aug 08 10:16:57 GMT 2023","13458","sw-safari","","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Tue Aug 08 10:16:18 GMT 2023","Tue Aug 08 10:16:43 GMT 2023","24265","sw-safari","","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"passed","Tue Aug 08 10:16:13 GMT 2023","Tue Aug 08 10:16:18 GMT 2023","5484","sw-safari","","[API] Tests examples","","","[API] Actors API tests example",""
"skipped","Tue Aug 08 10:15:48 GMT 2023","Tue Aug 08 10:15:48 GMT 2023","12","sw-edge","","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"skipped","Tue Aug 08 10:16:11 GMT 2023","Tue Aug 08 10:16:11 GMT 2023","0","sw-safari","","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Tue Aug 08 10:15:49 GMT 2023","Tue Aug 08 10:15:53 GMT 2023","4123","sw-edge","","","","","[API] Actor API Mock example",""
"skipped","Tue Aug 08 10:15:11 GMT 2023","Tue Aug 08 10:15:11 GMT 2023","0","sw-firefox","","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Tue Aug 08 10:14:54 GMT 2023","Tue Aug 08 10:14:59 GMT 2023","4450","sw-chrome","","","","","[API] Actor API Mock example",""
"passed","Tue Aug 08 10:16:12 GMT 2023","Tue Aug 08 10:18:18 GMT 2023","126786","sw-safari","","","","","test",""
"passed","Tue Aug 08 10:15:50 GMT 2023","Tue Aug 08 10:15:54 GMT 2023","4106","sw-edge","","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Tue Aug 08 10:15:11 GMT 2023","Tue Aug 08 10:15:41 GMT 2023","29585","sw-firefox","","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"passed","Tue Aug 08 10:14:54 GMT 2023","Tue Aug 08 10:15:47 GMT 2023","52776","sw-chrome","","","","","test",""
"passed","Tue Aug 08 10:16:07 GMT 2023","Tue Aug 08 10:16:12 GMT 2023","4577","sw-safari","","","","","[API] Actor API Mock example",""
"passed","Tue Aug 08 10:15:54 GMT 2023","Tue Aug 08 10:16:04 GMT 2023","10671","sw-edge","","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Tue Aug 08 10:15:53 GMT 2023","Tue Aug 08 10:16:20 GMT 2023","26851","sw-edge","","","","","test",""
"passed","Tue Aug 08 10:14:54 GMT 2023","Tue Aug 08 10:15:04 GMT 2023","9282","sw-chrome","","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"passed","Tue Aug 08 10:15:54 GMT 2023","Tue Aug 08 10:16:02 GMT 2023","8515","sw-edge","","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"passed","Tue Aug 08 10:15:07 GMT 2023","Tue Aug 08 10:15:11 GMT 2023","4637","sw-firefox","","","","","[API] Actor API Mock example",""
"passed","Tue Aug 08 10:14:54 GMT 2023","Tue Aug 08 10:15:01 GMT 2023","6678","sw-chrome","","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Tue Aug 08 10:15:13 GMT 2023","Tue Aug 08 10:16:37 GMT 2023","84046","sw-firefox","","","","","test",""
"passed","Tue Aug 08 10:16:13 GMT 2023","Tue Aug 08 10:16:38 GMT 2023","25857","sw-safari","","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Tue Aug 08 10:15:01 GMT 2023","Tue Aug 08 10:15:11 GMT 2023","9894","sw-chrome","","[E2E] React Selectors","","","[E2E] Test React selectors",""
